Natural Key;Dicofre;Freguesia;Concelho;Distrito;Latitude;Longitude
Reguengo e São JuliãoPORTALEGREPORTALEGRE;121412;Reguengo e São Julião;PORTALEGRE;PORTALEGRE;-93118.052;-38656.603
RoliçaBOMBARRALLEIRIA;100503;Roliça;BOMBARRAL;LEIRIA;69725.6224;-40859.813
PombalinhoGOLEGÃSANTARÉM;141203;Pombalinho;GOLEGÃ;SANTARÉM;-90050.269;-39731.149
UsseiraÓBIDOSLEIRIA;101209;Usseira;ÓBIDOS;LEIRIA;-37229.71;-36969.255
Ponte de Sor, Tramaga e Vale de AçorPONTE DE SORPORTALEGRE;121308;Ponte de Sor, Tramaga e Vale de Açor;PONTE DE SOR;PORTALEGRE;-87993.442;-37005.142
AbitureirasSANTARÉMSANTARÉM;141601;Abitureiras;SANTARÉM;SANTARÉM;12046.637;-45400.118
Olho MarinhoÓBIDOSLEIRIA;101203;Olho Marinho;ÓBIDOS;LEIRIA;-56290.337;-38843.684
Outeiro da Cortiçada e Arruda dos PisõesRIO MAIORSANTARÉM;141417;Outeiro da Cortiçada e Arruda dos Pisões;RIO MAIOR;SANTARÉM;-95478.325;-36629.05
FortiosPORTALEGREPORTALEGRE;121404;Fortios;PORTALEGRE;PORTALEGRE;-60379.411;-37272.662
A dos NegrosÓBIDOSLEIRIA;101201;A dos Negros;ÓBIDOS;LEIRIA;55633.1383;-41569.858
Atouguia da BaleiaPENICHELEIRIA;101402;Atouguia da Baleia;PENICHE;LEIRIA;-83144.747;-35720.937
Serra d'El-ReiPENICHELEIRIA;101405;Serra d'El-Rei;PENICHE;LEIRIA;-102119.43;-37346.499
PenichePENICHELEIRIA;101407;Peniche;PENICHE;LEIRIA;-98368.753;-36323.177
Monte da PedraCRATOPORTALEGRE;120605;Monte da Pedra;CRATO;PORTALEGRE;-107701.55;-33431.146
Achete, Azoia de Baixo e Póvoa de SantarémSANTARÉMSANTARÉM;141629;Achete, Azoia de Baixo e Póvoa de Santarém;SANTARÉM;SANTARÉM;30822.2621;-35406.762
São Vicente do Paul e Vale de FigueiraSANTARÉMSANTARÉM;141634;São Vicente do Paul e Vale de Figueira;SANTARÉM;SANTARÉM;-48248.876;-37507.266
LongomelPONTE DE SORPORTALEGRE;121305;Longomel;PONTE DE SOR;PORTALEGRE;-42069.08;-36966.578
UlmeCHAMUSCASANTARÉM;140704;Ulme;CHAMUSCA;SANTARÉM;11712.3848;-36416.619
AlagoaPORTALEGREPORTALEGRE;121401;Alagoa;PORTALEGRE;PORTALEGRE;-21120.611;-38454.958
Crato e Mártires, Flor da Rosa e Vale do PesoCRATOPORTALEGRE;120607;Crato e Mártires, Flor da Rosa e Vale do Peso;CRATO;PORTALEGRE;52515.5586;-33699.846
Calvaria de CimaPORTO DE MÓSLEIRIA;101605;Calvaria de Cima;PORTO DE MÓS;LEIRIA;46384.2058;-41768.025
Coz, Alpedriz e MontesALCOBAÇALEIRIA;100122;Coz, Alpedriz e Montes;ALCOBAÇA;LEIRIA;-62691.061;-3663.7393
AlburitelOURÉMSANTARÉM;142101;Alburitel;OURÉM;SANTARÉM;-70406.434;-5560.3315
MontalvãoNISAPORTALEGRE;121205;Montalvão;NISA;PORTALEGRE;-33466.749;-3056.1767
Nossa Senhora das MisericórdiasOURÉMSANTARÉM;142111;Nossa Senhora das Misericórdias;OURÉM;SANTARÉM;49606.7092;-7965.701
CarvoeiroMAÇÃOSANTARÉM;141304;Carvoeiro;MAÇÃO;SANTARÉM;-38190.443;-5218.3467
São MamedeBATALHALEIRIA;100403;São Mamede;BATALHA;LEIRIA;17409.3029;-3782.3396
AmêndoaMAÇÃOSANTARÉM;141302;Amêndoa;MAÇÃO;SANTARÉM;-49835.444;-6334.6655
AtouguiaOURÉMSANTARÉM;142102;Atouguia;OURÉM;SANTARÉM;8853.65146;-2342.1926
OlalhasTOMARSANTARÉM;141808;Olalhas;TOMAR;SANTARÉM;-42756.512;-2115.2515
Reguengo do FetalBATALHALEIRIA;100402;Reguengo do Fetal;BATALHA;LEIRIA;-13887.561;-3360.252
BatalhaBATALHALEIRIA;100401;Batalha;BATALHA;LEIRIA;-54379.693;-1992.5895
Além da Ribeira e PedreiraTOMARSANTARÉM;141817;Além da Ribeira e Pedreira;TOMAR;SANTARÉM;-59947.73;-947.82249
GolpilheiraBATALHALEIRIA;100404;Golpilheira;BATALHA;LEIRIA;-24244.101;-1293.4495
Casais e AlviobeiraTOMARSANTARÉM;141818;Casais e Alviobeira;TOMAR;SANTARÉM;-58747.338;1802.4219
Nossa Senhora da PiedadeOURÉMSANTARÉM;142115;Nossa Senhora da Piedade;OURÉM;SANTARÉM;-20078.374;-1184.7794
São Pedro do EstevalPROENÇA-A-NOVACASTELO BRANCO;50805;São Pedro do Esteval;PROENÇA-A-NOVA;CASTELO BRANCO;-38290.541;531.368872
SabacheiraTOMARSANTARÉM;141814;Sabacheira;TOMAR;SANTARÉM;25943.7477;-2920.4924
SeiçaOURÉMSANTARÉM;142113;Seiça;OURÉM;SANTARÉM;-28896.933;186.069727
Igreja Nova do SobralFERREIRA DO ZÊZERESANTARÉM;141107;Igreja Nova do Sobral;FERREIRA DO ZÊZERE;SANTARÉM;-33673.372;1090.89363
FratelVILA VELHA DE RÓDÃOCASTELO BRANCO;51101;Fratel;VILA VELHA DE RÓDÃO;CASTELO BRANCO;-16217.899;908.092003
Santa Catarina da Serra e ChainçaLEIRIALEIRIA;100938;Santa Catarina da Serra e Chainça;LEIRIA;LEIRIA;32086.2296;-4075.9736
Ferreira do ZêzereFERREIRA DO ZÊZERESANTARÉM;141106;Ferreira do Zêzere;FERREIRA DO ZÊZERE;SANTARÉM;-47129.932;1352.04673
ArrabalLEIRIALEIRIA;100902;Arrabal;LEIRIA;LEIRIA;-11062.212;1568.48997
MoitaMARINHA GRANDELEIRIA;101003;Moita;MARINHA GRANDE;LEIRIA;-51389.245;3844.05327
São João do PesoVILA DE REICASTELO BRANCO;51002;São João do Peso;VILA DE REI;CASTELO BRANCO;-70383.785;4901.94179
FóiosSABUGALGUARDA;91114;Fóios;SABUGAL;GUARDA;5009.37656;5639.49139
PenacovaPENACOVACOIMBRA;61307;Penacova;PENACOVA;COIMBRA;105326.162;69084.1412
Santa Ovaia e Vila Pouca da BeiraOLIVEIRA DO HOSPITALCOIMBRA;61126;Santa Ovaia e Vila Pouca da Beira;OLIVEIRA DO HOSPITAL;COIMBRA;-11915.146;68035.2796
Alvoco da SerraSEIAGUARDA;91201;Alvoco da Serra;SEIA;GUARDA;19136.8068;70786.906
Unhais da SerraCOVILHÃCASTELO BRANCO;50325;Unhais da Serra;COVILHÃ;CASTELO BRANCO;39432.4101;69721.7452
Santo Estêvão e MoitaSABUGALGUARDA;91146;Santo Estêvão e Moita;SABUGAL;GUARDA;44144.4862;68382.7028
MalcataSABUGALGUARDA;91118;Malcata;SABUGAL;GUARDA;81947.4592;70228.8451
BarcouçoMEALHADAAVEIRO;11102;Barcouço;MEALHADA;AVEIRO;90816.9817;70333.7541
Bom SucessoFIGUEIRA DA FOZCOIMBRA;60515;Bom Sucesso;FIGUEIRA DA FOZ;COIMBRA;-29864.646;70491.8687
MeimãoPENAMACORCASTELO BRANCO;50707;Meimão;PENAMACOR;CASTELO BRANCO;-57772.957;67976.6508
LourosaOLIVEIRA DO HOSPITALCOIMBRA;61109;Lourosa;OLIVEIRA DO HOSPITAL;COIMBRA;86637.4083;68372.9577
CasteleiroSABUGALGUARDA;91112;Casteleiro;SABUGAL;GUARDA;15680.6177;71717.4388
CariaBELMONTECASTELO BRANCO;50102;Caria;BELMONTE;CASTELO BRANCO;73937.184;69688.2822
