Territorios;MUNICIPIO;Total - 2019;Aterro - 2019;Valorizacao energetica - 2019;Valorizacao organica - 2019;Reciclagem - 2019
Municipio;FORNOS DE ALGODRES;1,969;998;0;725;247
Municipio;FUNDAO;10,915;4,8;0;5,046;1,069
Municipio;GOUVEIA;5,116;4,115;0;462;539
Municipio;GUARDA;15,69;7,603;0;6,365;1,722
Municipio;MANTEIGAS;1,251;603;0;441;208
Municipio;MEDA;2,195;1,139;0;819;237
Municipio;PINHEL;3,371;1,763;0;1,326;282
Municipio;SABUGAL;4,816;2,573;0;1,799;444
Municipio;SEIA;9,032;7,086;0;815;1,132
Municipio;TRANCOSO;3,473;1,82;0;1,342;311
Municipio;ALCOCHETE;11,315;8,823;121;1,479;892
Municipio;ALMADA;100,277;70,399;1,407;19,741;8,73
Municipio;AMADORA;63,331;5,768;46,041;4,17;7,351
Municipio;BARREIRO;34,825;26,434;404;5,047;2,94
Municipio;CASCAIS;136,875;65,848;25,064;23,656;22,307
Municipio;LISBOA;289,09;22,092;184,34;33,55;49,109
Municipio;LOURES;128,526;17,074;93,613;4,29;13,548
Municipio;MAFRA;46,216;22,997;7,391;8,777;7,05
Municipio;MOITA;31,88;24,497;373;4,76;2,25
Municipio;MONTIJO;28,275;21,91;317;4,075;1,973
Municipio;ODIVELAS;x;x;x;x;x
Municipio;OEIRAS;78,923;39,991;11,606;15,469;11,858
Municipio;PALMELA;45,544;36,278;453;6,243;2,572
Municipio;SEIXAL;82,726;60,356;1,042;14,141;7,187
Municipio;SESIMBRA;34,24;26,159;406;5,254;2,421
Municipio;SETUBAL;71,277;50,108;1,026;14,869;5,273
Municipio;SINTRA;178,779;90,978;28,531;32,995;26,275
Municipio;VILA FRANCA DE XIRA;48,232;6,951;34,771;991;5,519
Municipio;ALCACER DO SAL;6,657;5,945;37;162;514
Municipio;GRANDOLA;11,577;10,475;71;113;919
Municipio;ODEMIRA;14,986;13,244;120;237;1,386
Municipio;SANTIAGO DO CACEM;14,106;12,579;103;130;1,294
Municipio;SINES;8,904;8,054;57;73;720
Municipio;ALJUSTREL;4,68;4,018;30;195;437
Municipio;ALMODOVAR;2,925;2,462;0;149;314
Municipio;ALVITO;1,156;648;0;307;201
Municipio;BARRANCOS;649;592;0;6;51
Municipio;BEJA;17,2;14,504;0;750;1,947
Municipio;CASTRO VERDE;3,01;2,464;0;145;401
Municipio;CUBA;2,657;1,745;0;592;320
Municipio;FERREIRA DO ALENTEJO;5,482;5,073;25;107;277
Municipio;MERTOLA;3,202;2,772;0;144;286
Municipio;MOURA;8,265;6,546;0;769;950
Municipio;OURIQUE;2,474;2,083;0;123;268
Municipio;SERPA;9,076;7,152;0;785;1,14
Municipio;VIDIGUEIRA;3,131;2,011;0;661;460
Municipio;ALMEIRIM;7,525;4,75;0;655;2,12
Municipio;ALPIARCA;2,238;1,415;0;195;629
Municipio;AZAMBUJA;11,172;5,09;5,018;192;872
Municipio;BENAVENTE;8,264;5,223;0;720;2,321
Municipio;CARTAXO;6,422;4,055;0;559;1,809
Municipio;CHAMUSCA;2,45;1,226;0;257;967
Municipio;CORUCHE;4,856;3,069;0;423;1,364
Municipio;GOLEGA;1,796;868;0;181;747
Municipio;RIO MAIOR;8,328;2,239;5,089;152;848
Municipio;SALVATERRA DE MAGOS;6,697;4,233;0;583;1,881
Municipio;SANTAREM;13,696;6,489;0;1,33;5,876
Municipio;ALTER DO CHAO;1,644;913;5;536;191
Municipio;ARRONCHES;1,503;825;4;513;161
Municipio;AVIS;3,077;1,618;6;983;471
Municipio;CAMPO MAIOR;4,314;2,371;13;1,478;452
Municipio;CASTELO DE VIDE;1,524;817;5;520;183
Municipio;CRATO;2,088;1,239;5;593;251
Municipio;ELVAS;11,308;5,959;34;4,142;1,173
Municipio;FRONTEIRA;1,721;931;5;615;170
Municipio;GAVIAO;1,623;857;5;563;198
Municipio;MARVAO;1,399;749;4;468;177
Municipio;MONFORTE;1,985;1,204;5;524;253
Municipio;NISA;2,845;1,522;9;993;322
Municipio;PONTE DE SOR;7,134;3,788;22;2,525;799
Municipio;PORTALEGRE;10,023;5,327;28;3,419;1,249
Municipio;SOUSEL;2,419;1,292;8;888;232
Municipio;ALANDROAL;2,374;1,518;0;679;178
Municipio;ARRAIOLOS;3,433;2,261;0;909;263
Municipio;BORBA;3,313;2,159;0;917;237
Municipio;ESTREMOZ;6,984;4,447;0;2,03;508
Municipio;EVORA;34,25;20,346;0;10,068;3,837
Municipio;MONTEMOR-O-NOVO;8,378;5,433;0;2,367;578
Municipio;MORA;2,422;1,584;0;643;196
Municipio;MOURAO;1,221;807;0;320;95
Municipio;PORTEL;2,923;1,757;0;786;381
Municipio;REDONDO;3,301;2,18;0;928;193
Municipio;REGUENGOS DE MONSARAZ;6,32;4,134;0;1,847;339
Municipio;VENDAS NOVAS;6,456;4,307;0;1,767;382
Municipio;VIANA DO ALENTEJO;2,984;1,774;0;831;379
Municipio;VILA VICOSA;3,524;2,319;0;986;219
Municipio;ALBUFEIRA;57,497;47,488;0;5,66;4,349
Municipio;ALCOUTIM;1,444;1,291;0;58;95
Municipio;ALJEZUR;5,098;4,132;0;309;657
Municipio;CASTRO MARIM;6,969;5,903;0;527;540
Municipio;FARO;42,504;35,541;0;2,223;4,74
Municipio;LAGOA;25,697;20,378;0;2,869;2,451
Municipio;LAGOS;29,6;23,892;0;2,323;3,385
Municipio;LOULE;71,48;60,147;0;3,869;7,464
Municipio;MONCHIQUE;3,497;3,014;0;228;256
Municipio;OLHAO;30,555;26,453;0;1,583;2,519
Municipio;PORTIMAO;46,003;35,929;0;3,646;6,428
Municipio;SAO BRAS DE ALPORTEL;6,276;5,203;0;322;751
Municipio;SILVES;28,083;23,719;0;2,139;2,225
Municipio;TAVIRA;22,017;17,923;0;1,589;2,504
Municipio;VILA DO BISPO;6,61;5,495;0;446;669
Municipio;VILA REAL DE SANTO ANTONIO;17,978;15,83;0;669;1,479
Municipio;VILA DO PORTO;2,458;0;425;956;1,077
Municipio;LAGOA [R.A.A.];10,312;6,111;0;2,688;1,512
Municipio;NORDESTE;1,844;184;0;637;1,024
Municipio;PONTA DELGADA;47,367;34,752;0;3,979;8,635
Municipio;POVOACAO;3,355;3,051;0;1;302
Municipio;RIBEIRA GRANDE;17,923;12,856;0;1,803;3,264
Municipio;VILA FRANCA DO CAMPO;7,941;5,236;0;1,658;1,048
Municipio;ANGRA DO HEROISMO;23,122;1,371;14,992;2,54;4,219
Municipio;VILA DA PRAIA DA VITORIA;10,8;549;7,05;538;2,663
Municipio;SANTA CRUZ DA GRACIOSA;1,877;0;314;663;900
Municipio;CALHETA [R.A.A.];1,496;0;260;539;698
Municipio;VELAS;2,08;0;360;722;998
Municipio;LAJES DO PICO;1,669;338;0;665;666
Municipio;MADALENA;2,966;585;0;1,048;1,333
Municipio;SAO ROQUE DO PICO;1,424;264;0;531;628
Municipio;HORTA;7,176;0;1,289;2,941;2,945
Municipio;LAJES DAS FLORES;614;0;83;165;365
Municipio;SANTA CRUZ DAS FLORES;1,063;0;178;353;532
Municipio;CORVO;236;0;46;91;100
Municipio;CALHETA [R.A.M.];4,37;42;4,248;1;79
Municipio;CAMARA DE LOBOS;12,652;97;10,299;63;2,194
Municipio;FUNCHAL;62,678;939;55,436;2,933;3,37
Municipio;MACHICO;9,003;93;7,048;64;1,798
Municipio;PONTA DO SOL;3,608;4;3,326;0;277
Municipio;PORTO MONIZ;1,048;41;935;0;73
Municipio;RIBEIRA BRAVA;5,183;35;4,185;28;935
Municipio;SANTA CRUZ;17,624;145;13,792;157;3,53
Municipio;SANTANA;2,689;13;2,212;10;454
Municipio;SAO VICENTE;1,972;5;1,731;1;235
Municipio;PORTO SANTO;6,01;2,062;2,973;29;946
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 ; ; ; ; ; ; 
