Municipio;FUNDAO;0
Municipio;GOUVEIA;0
Municipio;GUARDA;
Municipio;MANTEIGAS;0
Municipio;MEDA;0
Municipio;PINHEL;0
Municipio;SABUGAL;0
Municipio;SEIA;0
Municipio;TRANCOSO;0
Municipio;ALCOCHETE;0
Municipio;ALMADA;607
Municipio;AMADORA;
Municipio;BARREIRO;413
Municipio;CASCAIS;616
Municipio;LISBOA;5689
Municipio;LOURES;
Municipio;MAFRA;0
Municipio;MOITA;0
Municipio;MONTIJO;0
Municipio;ODIVELAS;0
Municipio;OEIRAS;
Municipio;PALMELA;0
Municipio;SEIXAL;0
Municipio;SESIMBRA;0
Municipio;SETUBAL;
Municipio;SINTRA;1177
Municipio;VILA FRANCA DE XIRA;333
Municipio;ALCACER DO SAL;0
Municipio;GRANDOLA;0
Municipio;ODEMIRA;0
Municipio;SANTIAGO DO CACEM;114
Municipio;SINES;0
Municipio;ALJUSTREL;0
Municipio;ALMODOVAR;0
Municipio;ALVITO;0
Municipio;BARRANCOS;0
Municipio;BEJA;233
Municipio;CASTRO VERDE;0
Municipio;CUBA;0
Municipio;FERREIRA DO ALENTEJO;0
Municipio;MERTOLA;0
Municipio;MOURA;0
Municipio;OURIQUE;0
Municipio;SERPA;0
Municipio;VIDIGUEIRA;0
Municipio;ALMEIRIM;0
Municipio;ALPIARCA;0
Municipio;AZAMBUJA;0
Municipio;BENAVENTE;0
Municipio;CARTAXO;0
Municipio;CHAMUSCA;0
Municipio;CORUCHE;0
Municipio;GOLEGA;0
Municipio;RIO MAIOR;0
Municipio;SALVATERRA DE MAGOS;0
Municipio;SANTAREM;
Municipio;ALTER DO CHAO;0
Municipio;ARRONCHES;0
Municipio;AVIS;0
Municipio;CAMPO MAIOR;0
Municipio;CASTELO DE VIDE;0
Municipio;CRATO;0
Municipio;ELVAS;0
Municipio;FRONTEIRA;0
Municipio;GAVIAO;0
Municipio;MARVAO;0
Municipio;MONFORTE;
Municipio;NISA;0
Municipio;PONTE DE SOR;0
Municipio;PORTALEGRE;250
Municipio;SOUSEL;0
Municipio;ALANDROAL;0
Municipio;ARRAIOLOS;0
Municipio;BORBA;0
Municipio;ESTREMOZ;0
Municipio;EVORA;
Municipio;MONTEMOR-O-NOVO;
Municipio;MORA;0
