count(CP_AlfaPendular);count(CP_Intercidades);count(CP_Regional);count(CP_Urbanos_Coimbra);count(CP_Urbanos_Lisboa);count(CP_Urbanos_Porto);Dicofre;Freguesia
0;0;0;0;0;1;31223;Louro
0;0;1;0;0;0;30295;Uniao das freguesias de Carreira e Fonte Coberta
0;0;1;0;0;0;100506;Uniao das freguesias do Bombarral e Vale Covo
0;0;0;0;0;1;131405;Aves
0;0;1;0;0;0;61511;Vila Nova de Ancos
0;0;0;0;0;2;30831;Moreira de Conegos
0;0;0;0;1;0;110658;Belem
0;0;0;0;0;1;131017;Parada de Todeia
0;0;0;0;1;0;110727;Uniao das freguesias de Sacavem e Prior Velho
0;0;1;0;0;0;170802;Fontelas
1;1;0;0;0;0;21207;Uniao das freguesias de Garvao e Santa Luzia
0;0;0;0;0;2;131019;Recarei
0;0;1;0;0;0;50401;Alcaide
0;0;2;0;0;0;130221;Uniao das freguesias de Ancede e Ribadouro
0;0;2;0;0;0;160911;Darque
0;1;1;0;0;0;90758;Guarda
0;0;0;0;1;0;151205;Setubal (Sao Sebastiao)
0;0;2;0;0;0;60341;Uniao das freguesias de Trouxemil e Torre de Vilela
0;0;1;1;0;0;61008;Pereira
0;0;1;0;0;0;121410;Urra
0;0;0;0;0;0;151005;Corroios
0;0;1;0;0;0;120713;Caia, Sao Pedro e Alcacova
0;0;1;0;0;0;81103;Portimao
1;1;0;0;0;0;150904;Ermidas-Sado
1;1;0;0;0;1;131437;Uniao das freguesias de Santo Tirso, Couto (Santa Cristina e Sao Miguel) e Burgaes
0;0;2;0;0;0;170401;Barqueiros
0;0;1;0;0;0;140120;Uniao das freguesias de Abrantes (Sao Vicente e Sao Joao) e Alferrarede
0;0;0;1;0;0;60520;Buarcos e Sao Juliao
0;0;1;0;0;0;11104;Luso
1;1;1;0;0;1;131810;Uniao das freguesias de Bougado (Sao Martinho e Santiago)
0;0;0;0;0;1;30832;Nespereira
0;0;0;0;0;1;131806;Covelas
1;1;1;0;0;1;10517;Uniao das freguesias de Gloria e Vera Cruz
0;0;1;0;0;0;141910;Riachos
0;0;0;0;2;0;150802;Palmela
0;0;3;3;0;0;60338;Uniao das freguesias de Sao Martinho do Bispo e Ribeira de Frades
0;0;0;0;2;0;110307;Vila Nova da Rainha
0;0;1;0;0;0;50436;Uniao das freguesias de Vale de Prazeres e Mata da Rainha
0;0;0;0;2;0;111125;Uniao das freguesias de Massama e Monte Abraao
0;1;1;0;0;0;91334;Uniao das freguesias de Vila Franca das Naves e Feital
0;0;1;0;0;0;50406;Alpedrinha
0;1;1;0;0;0;90306;Forno Telheiro
1;1;1;0;0;2;131203;Campanha
0;0;1;0;0;0;90236;Uniao das freguesias de Miuzela e Porto de Ovelha
0;0;1;0;0;0;81603;Monte Gordo
0;0;1;0;0;0;142006;Vila Nova da Barquinha
0;0;1;0;0;0;140123;Uniao das freguesias de Sao Facundo e Vale das Mos
0;0;1;0;0;0;140607;Vila Cha de Ourique
0;0;1;0;0;0;10309;Sangalhos
0;0;0;0;1;0;111108;Rio de Mouro
0;0;1;0;0;0;50201;Alcains
0;0;1;0;0;0;81006;Uniao das freguesias de Moncarapacho e Fuseta
0;0;0;0;0;1;31224;Lousado
0;0;0;0;0;1;131020;Sobreira
0;0;2;0;0;0;181511;Vale de Figueira
0;0;1;0;0;1;131107;Casteloes
0;0;0;0;1;0;110660;Estrela
0;0;1;0;0;0;81602;Vila Real de Santo Antonio
1;1;1;0;0;0;80104;Ferreiras
0;1;1;0;0;0;160941;Uniao das freguesias de Barroselas e Carvoeiro
1;1;2;1;0;0;81310;Uniao das freguesias de Algoz e Tunes
0;1;0;0;0;0;70524;Uniao das freguesias de Malagueira e Horta das Figueiras
1;1;1;0;1;0;110667;Sao Vicente
0;0;0;0;0;1;30338;Ruilhe
0;0;0;0;2;0;110660;Alcantara
0;0;0;0;5;0;110508;Uniao das freguesias de Cascais e Estoril
0;0;1;0;0;0;30298;Uniao das freguesias de Durraes e Tregosa
1;1;1;0;1;0;110657;Avenidas Novas
0;0;1;0;0;0;160901;Afife
0;1;1;0;0;0;20301;Alvito
0;0;2;0;0;0;130225;Uniao das freguesias de Santa Cruz do Douro e Sao Tome de Covelas
