Group Features ID;Código Grupo
F10F17F22;Garagem (box)EstacionamentoElevador
F10F17F22F27;Garagem (box)EstacionamentoElevadorTerraco
F10F17F25;Garagem (box)EstacionamentoParqueamento
F10F17F25F27;Garagem (box)EstacionamentoParqueamentoTerraco
F10F17F27;Garagem (box)EstacionamentoTerraco
F10F18;Garagem (box)Condominio Fechado
F10F18F19F20F22F24;Garagem (box)Condominio FechadoGas CanalizadoPiscinaElevadorMarquise
F10F18F20;Garagem (box)Condominio FechadoPiscina
F10F18F20F22;Garagem (box)Condominio FechadoPiscinaElevador
F10F18F22;Garagem (box)Condominio FechadoElevador
F10F18F22F27;Garagem (box)Condominio FechadoElevadorTerraco
F10F18F27;Garagem (box)Condominio FechadoTerraco
F10F19;Garagem (box)Gas Canalizado
F10F19F22;Garagem (box)Gas CanalizadoElevador
F10F19F22F26;Garagem (box)Gas CanalizadoElevadorPiso Radiante
F10F19F22F29;Garagem (box)Gas CanalizadoElevadorCaldeira
F10F19F24;Garagem (box)Gas CanalizadoMarquise
F10F19F27;Garagem (box)Gas CanalizadoTerraco
F10F20;Garagem (box)Piscina
F10F20F22;Garagem (box)PiscinaElevador
F10F20F22F23;Garagem (box)PiscinaElevadorKitchenette
F10F20F22F27;Garagem (box)PiscinaElevadorTerraco
F10F20F27;Garagem (box)PiscinaTerraco
F10F22;Garagem (box)Elevador
F10F22F23;Garagem (box)ElevadorKitchenette
F10F22F27;Garagem (box)ElevadorTerraco
F10F27;Garagem (box)Terraco
F10F29;Garagem (box)Caldeira
F11;Arrecadacao
F11F12;ArrecadacaoVista de Mar
F11F12F13F14F15F17F18F19F22F25;ArrecadacaoVista de MarVista de RioCozinha EquipadaAquecimento CentralEstacionamentoCondominio FechadoGas CanalizadoElevadorParqueamento
F11F12F13F17F18F20F22;ArrecadacaoVista de MarVista de RioEstacionamentoCondominio FechadoPiscinaElevador
F11F12F13F18F20F22;ArrecadacaoVista de MarVista de RioCondominio FechadoPiscinaElevador
F11F12F13F22;ArrecadacaoVista de MarVista de RioElevador
F11F12F14F17F22F24F25;ArrecadacaoVista de MarCozinha EquipadaEstacionamentoElevadorMarquiseParqueamento
F11F12F16F17F18F22F28;ArrecadacaoVista de MarMobiladoEstacionamentoCondominio FechadoElevadorVista de Lago
F11F12F17F18F20F22F27F29;ArrecadacaoVista de MarEstacionamentoCondominio FechadoPiscinaElevadorTerracoCaldeira
F11F12F17F19F22F24;ArrecadacaoVista de MarEstacionamentoGas CanalizadoElevadorMarquise
F11F12F18F19F20F21F22F27;ArrecadacaoVista de MarCondominio FechadoGas CanalizadoPiscinaBoxElevadorTerraco
F11F12F21F22F25;ArrecadacaoVista de MarBoxElevadorParqueamento
F11F13;ArrecadacaoVista de Rio
F11F13F14F17F18F22F25;ArrecadacaoVista de RioCozinha EquipadaEstacionamentoCondominio FechadoElevadorParqueamento
F11F13F18F20F22;ArrecadacaoVista de RioCondominio FechadoPiscinaElevador
F11F13F19F22;ArrecadacaoVista de RioGas CanalizadoElevador
F11F13F21F22F25;ArrecadacaoVista de RioBoxElevadorParqueamento
F11F14;ArrecadacaoCozinha Equipada
F11F14F15F17;ArrecadacaoCozinha EquipadaAquecimento CentralEstacionamento
F11F14F15F17F18F19F20F22F24;ArrecadacaoCozinha EquipadaAquecimento CentralEstacionamentoCondominio FechadoGas CanalizadoPiscinaElevadorMarquise
F11F14F15F17F19F22;ArrecadacaoCozinha EquipadaAquecimento CentralEstacionamentoGas CanalizadoElevador
F11F14F15F17F19F22F25;ArrecadacaoCozinha EquipadaAquecimento CentralEstacionamentoGas CanalizadoElevadorParqueamento
F11F14F15F17F20F22F27F29;ArrecadacaoCozinha EquipadaAquecimento CentralEstacionamentoPiscinaElevadorTerracoCaldeira
F11F14F15F17F22;ArrecadacaoCozinha EquipadaAquecimento CentralEstacionamentoElevador
F11F14F15F17F22F24F25;ArrecadacaoCozinha EquipadaAquecimento CentralEstacionamentoElevadorMarquiseParqueamento
F11F14F15F19F22F29;ArrecadacaoCozinha EquipadaAquecimento CentralGas CanalizadoElevadorCaldeira
F11F14F16F22;ArrecadacaoCozinha EquipadaMobiladoElevador
F11F14F17;ArrecadacaoCozinha EquipadaEstacionamento
F11F14F17F19;ArrecadacaoCozinha EquipadaEstacionamentoGas Canalizado
F11F14F17F19F22;ArrecadacaoCozinha EquipadaEstacionamentoGas CanalizadoElevador
